epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
111,13338.4,1.62817,1.70835,0.01044,0.52905,0.38105,0.37485,0.23384,1.6514,1.38385,0.00482,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,13458.1,1.64739,1.7063,0.01002,0.53046,0.38236,0.37504,0.23398,1.65076,1.38212,0.00482,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,13577.6,1.62349,1.70452,0.01026,0.44616,0.38275,0.37571,0.23455,1.65055,1.38096,0.00482,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,13696.8,1.61895,1.69534,0.01036,0.44363,0.38585,0.37629,0.23508,1.65001,1.37859,0.00482,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,13816.1,1.62223,1.69273,0.0104,0.44022,0.38701,0.37681,0.23536,1.64883,1.37707,0.00481,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,13935.7,1.63448,1.68683,0.01004,0.44056,0.38702,0.37722,0.23575,1.64818,1.37457,0.00481,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,14055.7,1.60121,1.66822,0.01014,0.443,0.38731,0.37781,0.23633,1.64678,1.37307,0.0048,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,14175.5,1.62945,1.66707,0.0098,0.53168,0.38448,0.3794,0.2369,1.64626,1.37077,0.0048,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,14294.7,1.60485,1.6654,0.01014,0.52716,0.38748,0.37962,0.2372,1.645,1.36866,0.00479,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,14414.4,1.61609,1.67047,0.01024,0.53594,0.38399,0.3802,0.23767,1.64398,1.3673,0.00479,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,14534.1,1.62186,1.65532,0.01002,0.53842,0.38377,0.38105,0.2383,1.64273,1.36561,0.00478,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,14653.7,1.60003,1.65806,0.0102,0.53182,0.38637,0.38117,0.23873,1.64136,1.36475,0.00478,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,14773.1,1.60203,1.64429,0.01023,0.54075,0.38162,0.38152,0.23892,1.6407,1.36373,0.00478,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,14892.4,1.61138,1.67857,0.01039,0.55622,0.37874,0.38181,0.23942,1.63992,1.36179,0.00477,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,15012.1,1.6252,1.65644,0.01011,0.53612,0.38606,0.38246,0.23965,1.63821,1.35978,0.00477,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
