epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
55,4539.93,1.79903,2.08788,0.01203,0.65208,0.23641,0.25603,0.14288,1.89519,1.70911,0.0059,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,4622.61,1.81388,2.1035,0.01186,0.67944,0.23887,0.25562,0.14227,1.89469,1.71796,0.0059,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,4704.55,1.78848,2.08225,0.01197,0.73523,0.22626,0.25741,0.14419,1.87604,1.70401,0.00584,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,4785.56,1.79007,2.08616,0.01152,0.6655,0.23258,0.26214,0.14788,1.86221,1.67792,0.00581,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,4867.72,1.80118,2.07814,0.01177,0.65248,0.24017,0.26293,0.14841,1.86866,1.68386,0.00582,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,4949.56,1.79098,2.05884,0.0118,0.67785,0.24589,0.26786,0.1516,1.85925,1.66741,0.00577,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,5027.45,1.78132,2.05386,0.01191,0.67723,0.23983,0.27025,0.15306,1.85694,1.65522,0.00576,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,5108.07,1.79438,2.06046,0.01161,0.67845,0.24294,0.27023,0.15297,1.84989,1.64616,0.00574,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,5189.35,1.7684,2.0769,0.01175,0.68578,0.24196,0.27131,0.15411,1.84688,1.64054,0.00572,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,5269.86,1.76957,2.05406,0.01196,0.67837,0.24082,0.27112,0.15444,1.84455,1.63595,0.00571,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,5351.53,1.78004,2.0452,0.01164,0.64851,0.25221,0.27406,0.15666,1.84233,1.63072,0.0057,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,5431.53,1.76672,2.04675,0.01208,0.6571,0.25389,0.27582,0.1582,1.83998,1.62719,0.0057,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,5512.38,1.77306,2.02615,0.01175,0.61899,0.25247,0.27552,0.15828,1.8396,1.62067,0.00569,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,5592.1,1.76103,2.02744,0.01169,0.5905,0.26561,0.27719,0.15906,1.83872,1.61789,0.00568,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,5674.77,1.77673,2.02432,0.0117,0.60126,0.25696,0.2788,0.16038,1.8386,1.62085,0.00566,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,5758.26,1.77787,2.00502,0.01157,0.61692,0.25458,0.28038,0.16104,1.83924,1.62117,0.00566,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,5841.71,1.76853,2.03678,0.01163,0.62417,0.25394,0.27979,0.16136,1.83148,1.61689,0.00564,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,5924.79,1.75217,2.00788,0.01173,0.62726,0.25526,0.28097,0.16265,1.82792,1.60876,0.00563,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,6007.72,1.74638,2.0234,0.01151,0.6217,0.25544,0.28264,0.16286,1.82593,1.607,0.00562,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,6090.45,1.76848,2.00011,0.01157,0.6507,0.25495,0.28383,0.16374,1.82513,1.60728,0.00561,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
